athlete,HANDS,LOWER_ARMS,UPPER_ARMS,UPPER_TRUNK,MIDDLE_TRUNK,LOWER_TRUNK,PELVIS,HEAD,R_THIGH,R_SHANK,R_FOOT,L_THIGH,L_SHANK,L_FOOT,total_mass
37,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
38,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
39,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
40,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
41,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
42,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
43,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
44,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
45,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
46,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
47,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
48,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
49,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
50,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
51,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
52,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
53,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
54,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
55,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
56,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
57,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
58,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
59,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
60,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
61,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
62,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
63,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
64,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
